passage_id,text,tags
P0001,"The Homologous recombination pathway (P0001) involves key regulators such as BRCA1,BRCA2,RAD51. DNA double-strand break repair using BRCA1/BRCA2 and RAD51. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","Homologous recombination;BRCA1,BRCA2,RAD51"
P0002,"The Non-homologous end joining pathway (P0002) involves key regulators such as XRCC4,LIG4,PRKDC. Error-prone repair pathway that ligates broken DNA ends without a template. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","Non-homologous end joining;XRCC4,LIG4,PRKDC"
P0003,"The p53 signaling pathway (P0003) involves key regulators such as TP53,MDM2,CDKN1A. Stress response pathway controlling apoptosis and cell-cycle arrest. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","p53 signaling;TP53,MDM2,CDKN1A"
P0004,"The Autophagy pathway (P0004) involves key regulators such as ATG5,ATG7,MAP1LC3B. Catabolic pathway that degrades cytoplasmic components via autophagosomes and lysosomes. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","Autophagy;ATG5,ATG7,MAP1LC3B"
P0005,"The Oxidative stress response pathway (P0005) involves key regulators such as SOD1,CAT,GPX1. Defense pathway that detoxifies reactive oxygen species. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","Oxidative stress response;SOD1,CAT,GPX1"
P0006,"The Glycolysis pathway (P0006) involves key regulators such as HK1,PFKL,PKM. Central metabolic pathway converting glucose to pyruvate with ATP production. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","Glycolysis;HK1,PFKL,PKM"
P0007,"The TCA cycle pathway (P0007) involves key regulators such as CS,IDH3A,SDHA. Mitochondrial pathway oxidizing acetyl-CoA to CO2 and generating NADH. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","TCA cycle;CS,IDH3A,SDHA"
P0008,"The Oxidative phosphorylation pathway (P0008) involves key regulators such as ND1,COX4I1,ATP5F1A. Electron transport chain generating ATP via proton gradient. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","Oxidative phosphorylation;ND1,COX4I1,ATP5F1A"
P0009,"The Pentose phosphate pathway pathway (P0009) involves key regulators such as G6PD,PGD,TALDO1. Metabolic route producing NADPH and ribose-5-phosphate. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","Pentose phosphate pathway;G6PD,PGD,TALDO1"
P0010,"The DNA mismatch repair pathway (P0010) involves key regulators such as MSH2,MLH1,PMS2. Pathway correcting base mismatches that escape proofreading. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","DNA mismatch repair;MSH2,MLH1,PMS2"
P0011,"The Nucleotide excision repair pathway (P0011) involves key regulators such as XPA,ERCC1,ERCC3. Removes bulky DNA adducts such as UV-induced thymine dimers. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","Nucleotide excision repair;XPA,ERCC1,ERCC3"
P0012,"The Base excision repair pathway (P0012) involves key regulators such as OGG1,APE1,LIG3. Repairs small non-helix-distorting base lesions in DNA. Dysregulation of this pathway can alter cellular homeostasis and contribute to disease phenotypes, making its component genes important targets for functional genomics and perturbation studies.","Base excision repair;OGG1,APE1,LIG3"
