pathway_id,pathway_name,short_description,genes_list
P0001,Homologous recombination,DNA double-strand break repair using BRCA1/BRCA2 and RAD51.,"BRCA1,BRCA2,RAD51"
P0002,Non-homologous end joining,Error-prone repair pathway that ligates broken DNA ends without a template.,"XRCC4,LIG4,PRKDC"
P0003,p53 signaling,Stress response pathway controlling apoptosis and cell-cycle arrest.,"TP53,MDM2,CDKN1A"
P0004,Autophagy,Catabolic pathway that degrades cytoplasmic components via autophagosomes and lysosomes.,"ATG5,ATG7,MAP1LC3B"
P0005,Oxidative stress response,Defense pathway that detoxifies reactive oxygen species.,"SOD1,CAT,GPX1"
P0006,Glycolysis,Central metabolic pathway converting glucose to pyruvate with ATP production.,"HK1,PFKL,PKM"
P0007,TCA cycle,Mitochondrial pathway oxidizing acetyl-CoA to CO2 and generating NADH.,"CS,IDH3A,SDHA"
P0008,Oxidative phosphorylation,Electron transport chain generating ATP via proton gradient.,"ND1,COX4I1,ATP5F1A"
P0009,Pentose phosphate pathway,Metabolic route producing NADPH and ribose-5-phosphate.,"G6PD,PGD,TALDO1"
P0010,DNA mismatch repair,Pathway correcting base mismatches that escape proofreading.,"MSH2,MLH1,PMS2"
P0011,Nucleotide excision repair,Removes bulky DNA adducts such as UV-induced thymine dimers.,"XPA,ERCC1,ERCC3"
P0012,Base excision repair,Repairs small non-helix-distorting base lesions in DNA.,"OGG1,APE1,LIG3"
P0013,MAPK signaling,Kinase cascade transmitting extracellular signals to nuclear responses.,"MAPK1,MAP2K1,RAF1"
P0014,PI3K-AKT signaling,"Pro-survival pathway regulating metabolism, growth, and apoptosis.","PIK3CA,AKT1,MTOR"
P0015,NF-κB signaling,Inflammatory signaling pathway activated by cytokines and stress.,"RELA,NFKB1,IKBKB"
P0016,Notch signaling,Cell–cell communication pathway controlling fate decisions.,"NOTCH1,DLL1,JAG1"
P0017,Wnt/β-catenin signaling,Developmental pathway regulating proliferation and patterning.,"WNT3A,CTNNB1,LRP6"
P0018,TGF-β signaling,"Regulates cell growth, differentiation, and immune suppression.","TGFB1,SMAD2,SMAD4"
P0019,JAK-STAT signaling,Cytokine signaling pathway controlling gene expression in immunity.,"JAK2,STAT3,STAT1"
P0020,Insulin signaling,Controls glucose uptake and metabolic homeostasis.,"INSR,IRS1,SLC2A4"
...,,,
